,timestamps,x,y,z
175,1528302786000000000,-0.544797,-0.809412,-0.21919699999999998
176,1528302786000000000,-0.540031,-0.807553,-0.237119
177,1528302786000000000,-0.528432,-0.802607,-0.27673400000000004
178,1528302786000000000,-0.5132329999999999,-0.793415,-0.327237
180,1528302786000000000,-0.502105,-0.782209,-0.368836
181,1528302786000000000,-0.5063479999999999,-0.77153,-0.385166
182,1528302786000000000,-0.529505,-0.76042,-0.376013
183,1528302786000000000,-0.563381,-0.74127,-0.364858
184,1528302786000000000,-0.594015,-0.709886,-0.37842800000000004
185,1528302786000000000,-0.623289,-0.668991,-0.404922
186,1528302786000000000,-0.670946,-0.607197,-0.425609
187,1528302786000000000,-0.720294,-0.527161,-0.45086400000000004
188,1528302786000000000,-0.73992,-0.45644799999999996,-0.49413900000000005
189,1528302786000000000,-0.723605,-0.425098,-0.543771
190,1528302786000000000,-0.695763,-0.445254,-0.563616
191,1528302786000000000,-0.686037,-0.481692,-0.545276
192,1528302786000000000,-0.694959,-0.5115770000000001,-0.505292
193,1528302786000000000,-0.710775,-0.527617,-0.465208
194,1528302786000000000,-0.724168,-0.53127,-0.43969600000000003
195,1528302786000000000,-0.7291380000000001,-0.532297,-0.430137
196,1528302786000000000,-0.726376,-0.534946,-0.431522
197,1528302786000000000,-0.722604,-0.5397649999999999,-0.431853
198,1528302786000000000,-0.724368,-0.5462359999999999,-0.420617
199,1528302786000000000,-0.7315659999999999,-0.555326,-0.39550599999999997
200,1528302786000000000,-0.741242,-0.5630109999999999,-0.36548400000000003
201,1528302786000000000,-0.749908,-0.567331,-0.34025500000000003
202,1528302787000000000,-0.756829,-0.569442,-0.320853
203,1528302787000000000,-0.761231,-0.5727180000000001,-0.304174
204,1528302787000000000,-0.763252,-0.581779,-0.281033
205,1528302787000000000,-0.774159,-0.584059,-0.244035
206,1528302787000000000,-0.784741,-0.587191,-0.198469
207,1528302787000000000,-0.774125,-0.612491,-0.159951
208,1528302787000000000,-0.73739,-0.658224,-0.151647
209,1528302787000000000,-0.6916859999999999,-0.701605,-0.171231
210,1528302787000000000,-0.6599520000000001,-0.726322,-0.192144
211,1528302787000000000,-0.646837,-0.736345,-0.198488
212,1528302787000000000,-0.6456430000000001,-0.739394,-0.190896
213,1528302787000000000,-0.65151,-0.737338,-0.178513
214,1528302787000000000,-0.6600729999999999,-0.731758,-0.169802
215,1528302787000000000,-0.668322,-0.725655,-0.163618
216,1528302787000000000,-0.676373,-0.7193189999999999,-0.158426
217,1528302787000000000,-0.686818,-0.709857,-0.15615199999999999
218,1528302787000000000,-0.701429,-0.693821,-0.163123
219,1528302787000000000,-0.717608,-0.6700689999999999,-0.189858
220,1528302787000000000,-0.729202,-0.640939,-0.239713
221,1528302787000000000,-0.7391909999999999,-0.604877,-0.296176
222,1528302787000000000,-0.767592,-0.554457,-0.321527
223,1528302787000000000,-0.807609,-0.49911400000000006,-0.314089
224,1528302787000000000,-0.8294360000000001,-0.45693900000000004,-0.321315
225,1528302787000000000,-0.827392,-0.42901300000000003,-0.362451
226,1528302787000000000,-0.809359,-0.42264700000000005,-0.40780900000000003
227,1528302787000000000,-0.79088,-0.43507299999999993,-0.43037200000000003
228,1528302787000000000,-0.787596,-0.44025600000000004,-0.431123
230,1528302787000000000,-0.795305,-0.433758,-0.42349
231,1528302787000000000,-0.805036,-0.42201000000000005,-0.416922
232,1528302787000000000,-0.812569,-0.411181,-0.413112
233,1528302787000000000,-0.81579,-0.406008,-0.41187799999999997
234,1528302787000000000,-0.816279,-0.409821,-0.407105
235,1528302787000000000,-0.817919,-0.42155299999999996,-0.391536
236,1528302787000000000,-0.820082,-0.43596,-0.370679
237,1528302787000000000,-0.820836,-0.44846099999999994,-0.353709
238,1528302787000000000,-0.818541,-0.461525,-0.34203
239,1528302787000000000,-0.8166979999999999,-0.478146,-0.32308000000000003
240,1528302787000000000,-0.8199270000000001,-0.49431499999999995,-0.28874099999999997
241,1528302787000000000,-0.8240040000000001,-0.509854,-0.247115
242,1528302787000000000,-0.825786,-0.521805,-0.21400300000000003
243,1528302787000000000,-0.834707,-0.522698,-0.173351
244,1528302787000000000,-0.827576,-0.549816,-0.113228
245,1528302787000000000,-0.793636,-0.602432,-0.084957
246,1528302787000000000,-0.736518,-0.666039,-0.118039
247,1528302787000000000,-0.6699390000000001,-0.71978,-0.18193
248,1528302787000000000,-0.6153390000000001,-0.753943,-0.23006100000000002
249,1528302787000000000,-0.59001,-0.772917,-0.233423
250,1528302787000000000,-0.592921,-0.781798,-0.192967
251,1528302787000000000,-0.61058,-0.778833,-0.143565
252,1528302787000000000,-0.626728,-0.7704489999999999,-0.116709
253,1528302788000000000,-0.637883,-0.761468,-0.115205
254,1528302788000000000,-0.6483270000000001,-0.74932,-0.134875
255,1528302788000000000,-0.663269,-0.731001,-0.160349
256,1528302788000000000,-0.684776,-0.70522,-0.183701
257,1528302788000000000,-0.70735,-0.673411,-0.214879
258,1528302788000000000,-0.7197100000000001,-0.6343300000000001,-0.28221199999999996
259,1528302788000000000,-0.707974,-0.581332,-0.401032
260,1528302788000000000,-0.686473,-0.5142100000000001,-0.514143
261,1528302788000000000,-0.684053,-0.456646,-0.568811
262,1528302788000000000,-0.6835640000000001,-0.421849,-0.595637
263,1528302788000000000,-0.66892,-0.398075,-0.62776
264,1528302788000000000,-0.643365,-0.385679,-0.661312
265,1528302788000000000,-0.610734,-0.389443,-0.689448
266,1528302788000000000,-0.574383,-0.398467,-0.715058
267,1528302788000000000,-0.538938,-0.394233,-0.744397
268,1528302788000000000,-0.508649,-0.37604099999999996,-0.774512
269,1528302788000000000,-0.48404300000000006,-0.357243,-0.7987989999999999
270,1528302788000000000,-0.458808,-0.351635,-0.815995
271,1528302788000000000,-0.440723,-0.35959,-0.822471
272,1528302788000000000,-0.442941,-0.367244,-0.8178850000000001
273,1528302788000000000,-0.459163,-0.37146799999999996,-0.806958
274,1528302788000000000,-0.470206,-0.383384,-0.794936
275,1528302788000000000,-0.45813400000000004,-0.408896,-0.789251
276,1528302788000000000,-0.43323199999999995,-0.43339399999999995,-0.7902399999999999
277,1528302788000000000,-0.407894,-0.454297,-0.791983
