time_tick,mag_X_value,mag_Y_value,mag_Z_value
13.481152,-37.136169,36.523483,-11.633270
13.506312,-36.911697,37.047058,-10.583649
13.530010,-36.307755,38.319412,-10.135193
13.554369,-35.181168,39.364395,-9.093384
13.579957,-33.525620,41.307327,-8.203857
13.604897,-33.297028,42.206406,-8.202759
13.631304,-32.545120,42.728363,-8.133942
13.654857,-32.017395,43.401260,-8.137054
13.679966,-30.813477,44.521347,-7.920807
13.705157,-30.813477,44.521347,-7.920807
13.730213,-30.737579,44.746033,-7.920746
13.756089,-30.888550,44.971268,-7.168213
13.785576,-30.664078,45.120132,-6.720062
13.804318,-30.514633,45.494125,-5.895203
13.829675,-30.289230,45.643188,-5.822113
13.855934,-29.914536,45.941391,-5.225006
13.879979,-29.987396,46.241882,-5.597992
13.904761,-29.538040,46.314896,-5.227661
13.930715,-29.538345,46.239899,-5.227966
13.954439,-29.763962,46.315598,-4.850189
13.979937,-29.539322,46.464508,-4.477051
14.004744,-29.690842,46.314941,-4.100983
14.029644,-30.067276,45.866516,-4.248627
14.054189,-30.291489,46.017456,-4.320557
14.080087,-30.367645,45.867645,-4.095337
14.104503,-30.670120,45.343781,-3.944092
14.129450,-31.124893,44.670181,-3.116760
14.154206,-31.051285,44.744537,-2.442322
14.179510,-31.126221,45.044632,-1.990265
14.204734,-31.427551,44.520981,-2.289093
14.230221,-32.255005,43.774399,-2.507935
14.253979,-33.156189,43.103302,-3.100708
14.279139,-34.660934,41.309799,-4.066345
14.304227,-36.391403,39.067429,-5.481262
14.328945,-42.339401,30.993088,-9.198120
14.353883,-44.457870,25.152527,-11.148193
14.379767,-46.882065,17.513504,-13.702057
14.407118,-49.208160,-1.452240,-13.602356
14.428617,-48.799805,-10.529953,-11.468170
14.453717,-46.513870,-19.539703,-10.254364
14.479030,-42.195618,-28.181412,-11.386414
14.504276,-30.994522,-41.500336,-13.137909
14.529397,-24.628036,-45.274490,-15.773041
14.553483,-17.953903,-47.324722,-18.704651
14.578720,-11.567764,-47.348022,-23.200012
14.603958,0.754227,-45.594315,-29.178528
14.628410,5.408234,-44.712830,-29.376190
14.653395,9.307144,-44.728638,-28.969147
14.679633,15.153427,-44.527924,-27.157654
14.703369,16.725708,-44.609680,-26.200287
14.728194,17.623047,-44.763687,-25.385742
14.753387,17.996368,-44.765518,-24.714874
14.778716,17.918823,-45.215347,-24.415802
14.803280,17.843414,-45.365005,-24.490570
14.828947,17.465820,-45.588837,-23.812347
14.853370,17.691711,-45.364746,-23.813934
14.878254,16.262619,-46.334076,-23.727081
14.907118,15.661682,-46.331863,-23.345459
14.927306,14.457733,-47.077240,-22.960175
14.952299,12.803040,-47.820969,-22.269989
14.977670,8.067596,-49.602676,-20.950012
15.003037,5.137146,-50.341461,-19.945740
15.027793,1.604950,-51.228058,-18.485413
15.053377,-4.634552,-52.330124,-14.446167
15.077869,-8.014511,-52.092789,-12.083069
15.102694,-11.844894,-52.003616,-9.790558
15.128287,-15.072830,-51.166962,-7.276703
15.152775,-20.402039,-49.272995,-2.560516
15.177800,-22.874908,-48.063644,-1.478485
15.202675,-25.567764,-45.878189,-0.840118
15.227903,-28.932068,-43.314651,-1.017822
15.252320,-35.050476,-36.389389,-2.572876
15.278129,-37.587479,-33.304123,-2.832611
15.302389,-39.524521,-30.371124,-3.324554
15.329454,-42.124008,-24.285492,-3.796631
15.363193,-43.452667,-19.629639,-4.888367
15.380113,-44.399643,-14.149612,-7.331055
15.402542,-44.669601,-8.971680,-11.057373
15.428179,-41.094864,-0.807556,-17.889038
15.452210,-40.549210,3.241150,-19.678833
15.477049,-39.329712,7.736572,-20.274292
