time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
13.155082,-1.214580,1.973854,0.208479
13.185050,-0.671689,3.973406,0.515404
13.214988,0.072103,5.461023,0.713693
13.254952,-0.612454,7.298592,0.870861
13.284920,-0.199174,7.780674,0.973530
13.314858,-0.407680,5.915893,0.966747
13.354805,-1.120558,4.388787,1.023370
13.384773,-1.877311,4.555311,1.022455
13.414742,-2.271174,4.676436,0.739498
13.454659,-2.032197,3.646457,0.688824
13.484627,-1.863701,2.373599,0.220659
13.514595,-0.740275,1.257872,-0.143514
13.554543,0.726682,-0.518185,-0.355695
13.584480,2.378096,-3.965736,-0.261940
13.614449,3.014930,-7.612946,-0.340007
13.654396,1.243043,-8.982591,-0.059373
13.684334,0.956928,-8.636771,0.151669
13.714302,1.704337,-8.164866,-0.176447
13.754250,-0.856715,-5.975495,-0.087165
13.784218,0.478724,-2.589662,-0.216396
13.814156,1.230318,-2.401266,-0.269713
13.854103,1.368938,-1.855820,-0.403047
13.884071,0.497848,-0.527376,-0.231578
13.914009,-0.738683,0.257085,-0.285692
13.953957,-2.252498,2.057737,-0.210552
13.983925,-2.373218,3.705672,-0.989825
14.013863,-1.935432,6.586823,-1.337598
14.053810,-2.342935,8.843832,-0.851518
14.083778,-3.065859,8.592503,-0.955090
14.113747,-3.716052,6.799904,-0.841311
14.153694,-2.301613,3.845167,-0.130399
14.183632,-0.518313,1.838344,0.900323
14.213600,0.140912,-0.469197,2.541849
14.253537,0.656641,-2.524958,4.500947
14.283474,0.564709,-3.926320,5.752759
14.313443,0.599943,-4.062804,6.447464
14.353390,1.824575,-2.912821,6.129058
14.383359,1.449596,-2.406977,3.977619
14.413296,2.684442,-1.693990,2.815655
14.453244,3.165508,-1.516844,2.169904
14.483212,3.353953,-0.782840,0.844939
14.513150,2.615121,-0.186832,-0.715698
14.553097,3.709579,0.476309,-1.294786
14.583066,4.029999,0.833856,-1.942264
14.613003,4.186734,1.494376,-2.230947
14.652951,4.237021,2.221162,-2.658959
14.682919,5.531589,3.021440,-3.549424
14.712887,5.369293,2.972697,-5.431449
14.752835,5.654325,2.605563,-5.679577
14.782773,3.904410,2.343245,-4.884499
14.812741,2.528894,3.753573,-4.355809
14.852688,-0.436030,2.530967,-3.448876
14.882626,-0.716592,0.760102,-2.340326
14.912594,1.487650,0.277698,-2.441699
14.952542,1.924106,1.205243,-4.193907
14.982510,1.178684,2.827628,-4.368331
15.012448,2.940911,0.764355,-2.357638
15.052395,1.525246,0.434305,-1.399761
15.082364,0.450808,1.106575,-0.061756
15.112301,-2.005695,0.971258,1.345065
15.152249,-4.053678,0.292734,2.898221
15.182217,-4.912471,0.163146,4.081830
